mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
laya-state,2,125,0,200,2,max_steps,,False,False,False,False,False,198,0.99,108.7,107.7,117.2,98600.1,200,0,57519,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
laya-state,3,126,8,200,4,max_steps,,False,False,False,False,False,196,0.98,106.0,105.0,114.2,97405.5,200,0,57495,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 194, ""harness_desync"": 0}"
laya-state,4,127,4,200,4,max_steps,,False,False,False,False,False,198,0.99,106.4,105.2,118.3,98601.8,200,0,57519,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 196, ""harness_desync"": 0}"
laya-state,5,128,16,200,4,max_steps,,False,False,False,False,False,192,0.96,108.9,107.2,123.3,97308.8,200,0,57447,0,False,"{""alternating_loop"": 0, ""repeated_state"": 190, ""invalid_repetition"": 191, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 189, ""harness_desync"": 0}"
laya-state,6,129,4,200,4,max_steps,,False,False,False,False,False,196,0.98,105.7,105.6,122.7,97913.9,200,0,57495,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-state,7,130,8,200,4,max_steps,,False,False,False,False,False,197,0.985,106.2,107.6,120.8,98439.0,200,0,57507,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 196, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 194, ""harness_desync"": 0}"
laya-history,0,123,48,200,8,max_steps,,False,False,False,False,False,186,0.93,199.5,201.1,217.2,113349.1,200,0,117513,0,False,"{""alternating_loop"": 0, ""repeated_state"": 179, ""invalid_repetition"": 180, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 140, ""harness_desync"": 0}"
laya-history,1,124,4,200,4,max_steps,,False,False,False,False,False,198,0.99,202.0,204.8,216.3,117428.7,200,0,114170,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-history,2,125,0,200,2,max_steps,,False,False,False,False,False,198,0.99,202.5,202.2,220.7,117632.5,200,0,114170,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
laya-history,3,126,0,200,2,max_steps,,False,False,False,False,False,200,1.0,189.5,190.4,205.4,116137.2,200,0,112622,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 199, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
laya-history,4,127,8,200,4,max_steps,,False,False,False,False,False,196,0.98,215.3,215.4,236.0,119897.1,200,0,117234,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 193, ""harness_desync"": 0}"
laya-history,5,128,40,200,8,max_steps,,False,False,False,False,False,186,0.93,215.4,214.9,239.5,117690.2,200,0,115614,0,False,"{""alternating_loop"": 0, ""repeated_state"": 184, ""invalid_repetition"": 185, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 185, ""harness_desync"": 0}"
laya-history,6,129,152,200,16,max_steps,,False,False,False,False,False,167,0.835,205.6,207.2,221.6,109395.2,200,0,117241,0,False,"{""alternating_loop"": 7, ""repeated_state"": 161, ""invalid_repetition"": 157, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 108, ""harness_desync"": 0}"
laya-history,7,130,0,200,2,max_steps,,False,False,False,False,False,199,0.995,206.1,206.6,222.0,118647.0,200,0,114190,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 198, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
